Order ID,Order Date,Sales,Quantity,Profit,Discount,Customer ID,Customer Name,Segment,Region,State,City,Product ID,Category,Sub-Category
CA-2016-152156,11/8/2016,261.96,2,41.9136,0.0,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,FUR-BO-10001798,Furniture,Bookcases
CA-2016-152156,11/8/2016,731.94,3,219.582,0.0,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,FUR-CH-10000454,Furniture,Chairs
CA-2016-138688,6/12/2016,14.62,2,6.8714,0.0,DV-13045,Darrin Van Huff,Corporate,West,California,Los Angeles,OFF-LA-10000240,Office Supplies,Labels
US-2015-108966,10/11/2015,957.5775,5,-383.031,0.45,SO-20335,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,FUR-TA-10000577,Furniture,Tables
US-2015-108966,10/11/2015,22.368,2,2.5164,0.2,SO-20335,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,OFF-ST-10000760,Office Supplies,Storage
CA-2014-115812,6/9/2014,48.86,7,14.1694,0.0,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,FUR-FU-10001487,Furniture,Furnishings
CA-2014-115812,6/9/2014,7.28,4,1.9656,0.0,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,OFF-AR-10002833,Office Supplies,Art
CA-2014-115812,6/9/2014,907.152,6,90.7152,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,TEC-PH-10002275,Technology,Phones
CA-2014-115812,6/9/2014,18.504,3,5.7825,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,OFF-BI-10003910,Office Supplies,Binders
CA-2014-115812,6/9/2014,114.9,5,34.47,0.0,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,OFF-AP-10002892,Office Supplies,Appliances
CA-2014-115812,6/9/2014,1706.184,9,85.3092,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,FUR-TA-10001539,Furniture,Tables
CA-2014-115812,6/9/2014,911.424,4,68.3568,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,TEC-PH-10002033,Technology,Phones
CA-2017-114412,4/15/2017,15.552,3,5.4432,0.2,AA-10480,Andrew Allen,Consumer,South,North Carolina,Concord,OFF-PA-10002365,Office Supplies,Paper
CA-2016-161389,12/5/2016,407.976,3,132.5922,0.2,IM-15070,Irene Maddox,Consumer,West,Washington,Seattle,OFF-BI-10003656,Office Supplies,Binders
US-2015-118983,11/22/2015,68.81,5,-123.858,0.8,HP-14815,Harold Pawlan,Home Office,Central,Texas,Fort Worth,OFF-AP-10002311,Office Supplies,Appliances
US-2015-118983,11/22/2015,2.544,3,-3.816,0.8,HP-14815,Harold Pawlan,Home Office,Central,Texas,Fort Worth,OFF-BI-10000756,Office Supplies,Binders
CA-2014-105893,11/11/2014,665.88,6,13.3176,0.0,PK-19075,Pete Kriz,Consumer,Central,Wisconsin,Madison,OFF-ST-10004186,Office Supplies,Storage
CA-2014-167164,5/13/2014,55.5,2,9.99,0.0,AG-10270,Alejandro Grove,Consumer,West,Utah,West Jordan,OFF-ST-10000107,Office Supplies,Storage
CA-2014-143336,8/27/2014,8.56,2,2.4824,0.0,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,OFF-AR-10003056,Office Supplies,Art
CA-2014-143336,8/27/2014,213.48,3,16.011,0.2,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,TEC-PH-10001949,Technology,Phones
CA-2014-143336,8/27/2014,22.72,4,7.384,0.2,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,OFF-BI-10002215,Office Supplies,Binders
CA-2016-137330,12/9/2016,19.46,7,5.0596,0.0,KB-16585,Ken Black,Corporate,Central,Nebraska,Fremont,OFF-AR-10000246,Office Supplies,Art
CA-2016-137330,12/9/2016,60.34,7,15.6884,0.0,KB-16585,Ken Black,Corporate,Central,Nebraska,Fremont,OFF-AP-10001492,Office Supplies,Appliances
US-2017-156909,7/16/2017,71.372,2,-1.0196,0.3,SF-20065,Sandra Flanagan,Consumer,East,Pennsylvania,Philadelphia,FUR-CH-10002774,Furniture,Chairs
CA-2015-106320,9/25/2015,1044.63,3,240.2649,0.0,EB-13870,Emily Burns,Consumer,West,Utah,Orem,FUR-TA-10000577,Furniture,Tables
CA-2016-121755,1/16/2016,11.648,2,4.2224,0.2,EH-13945,Eric Hoffmann,Consumer,West,California,Los Angeles,OFF-BI-10001634,Office Supplies,Binders
CA-2016-121755,1/16/2016,90.57,3,11.7741,0.0,EH-13945,Eric Hoffmann,Consumer,West,California,Los Angeles,TEC-AC-10003027,Technology,Accessories
US-2015-150630,9/17/2015,3083.43,7,-1665.0522,0.5,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,FUR-BO-10004834,Furniture,Bookcases
US-2015-150630,9/17/2015,9.618,2,-7.0532,0.7,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-BI-10000474,Office Supplies,Binders
US-2015-150630,9/17/2015,124.2,3,15.525,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,FUR-FU-10004848,Furniture,Furnishings
US-2015-150630,9/17/2015,3.264,2,1.1016,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-EN-10001509,Office Supplies,Envelopes
US-2015-150630,9/17/2015,86.304,6,9.7092,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-AR-10004042,Office Supplies,Art
