Order ID,Order Date,Sales,Discount,Customer Name,Segment,Region,Sub-Category,Marketing Spend,CustomerID
CA-2016-152156,2016-11-08,261.96,0.0,Claire Gute,Consumer,South,Bookcases,2185.43,
CA-2016-152156,2016-11-08,731.94,0.0,Claire Gute,Consumer,South,Chairs,4778.21,
CA-2016-138688,2016-06-12,14.62,0.0,Darrin Van Huff,Corporate,West,Labels,3793.97,
US-2015-108966,2015-10-11,957.5775,0.45,Sean O'Donnell,Consumer,South,Tables,3193.96,
US-2015-108966,2015-10-11,22.368,0.2,Sean O'Donnell,Consumer,South,Storage,1202.08,
CA-2014-115812,2014-06-09,48.86,0.0,Brosina Hoffman,Consumer,West,Furnishings,1201.98,
CA-2014-115812,2014-06-09,7.28,0.0,Brosina Hoffman,Consumer,West,Art,761.38,
CA-2014-115812,2014-06-09,907.152,0.2,Brosina Hoffman,Consumer,West,Phones,4397.79,
CA-2014-115812,2014-06-09,18.504,0.2,Brosina Hoffman,Consumer,West,Binders,3205.02,
CA-2014-115812,2014-06-09,114.9,0.0,Brosina Hoffman,Consumer,West,Appliances,3686.33,
CA-2014-115812,2014-06-09,1706.184,0.2,Brosina Hoffman,Consumer,West,Tables,592.63,
CA-2014-115812,2014-06-09,911.424,0.2,Brosina Hoffman,Consumer,West,Phones,4864.59,
CA-2017-114412,2017-04-15,15.552,0.2,Andrew Allen,Consumer,South,Paper,4245.99,
CA-2016-161389,2016-12-05,407.976,0.2,Irene Maddox,Consumer,West,Binders,1455.53,
US-2015-118983,2015-11-22,68.81,0.8,Harold Pawlan,Home Office,Central,Appliances,1318.21,
US-2015-118983,2015-11-22,2.544,0.8,Harold Pawlan,Home Office,Central,Binders,1325.32,
CA-2014-105893,2014-11-11,665.88,0.0,Pete Kriz,Consumer,Central,Storage,1869.09,
CA-2014-167164,2014-05-13,55.5,0.0,Alejandro Grove,Consumer,West,Storage,2861.4,
CA-2014-143336,2014-08-27,8.56,0.0,Zuschuss Donatelli,Consumer,West,Art,2443.75,
CA-2014-143336,2014-08-27,213.48,0.2,Zuschuss Donatelli,Consumer,West,Phones,1810.53,
CA-2014-143336,2014-08-27,22.72,0.2,Zuschuss Donatelli,Consumer,West,Binders,3253.34,
CA-2016-137330,2016-12-09,19.46,0.0,Ken Black,Corporate,Central,Art,1127.72,
CA-2016-137330,2016-12-09,60.34,0.0,Ken Black,Corporate,Central,Appliances,1814.65,
US-2017-156909,2017-07-16,71.372,0.3,Sandra Flanagan,Consumer,East,Chairs,2148.63,
CA-2015-106320,2015-09-25,1044.63,0.0,Emily Burns,Consumer,West,Tables,2552.31,
CA-2016-121755,2016-01-16,11.648,0.2,Eric Hoffmann,Consumer,West,Binders,4033.29,
