Order ID,Order Date,Sales,Quantity,Profit,Discount,Customer ID,Customer Name,Segment,Region,State,City,Product ID,Category,Sub-Category,Marketing Spend
CA-2016-152156,11/8/2016,261.96,2,41.9136,0.0,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,FUR-BO-10001798,Furniture,Bookcases,2185.43
CA-2016-152156,11/8/2016,731.94,3,219.582,0.0,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,FUR-CH-10000454,Furniture,Chairs,4778.21
CA-2016-138688,6/12/2016,14.62,2,6.8714,0.0,DV-13045,Darrin Van Huff,Corporate,West,California,Los Angeles,OFF-LA-10000240,Office Supplies,Labels,3793.97
US-2015-108966,10/11/2015,957.5775,5,-383.031,0.45,SO-20335,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,FUR-TA-10000577,Furniture,Tables,3193.96
US-2015-108966,10/11/2015,22.368,2,2.5164,0.2,SO-20335,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,OFF-ST-10000760,Office Supplies,Storage,1202.08
CA-2014-115812,6/9/2014,48.86,7,14.1694,0.0,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,FUR-FU-10001487,Furniture,Furnishings,1201.98
CA-2014-115812,6/9/2014,7.28,4,1.9656,0.0,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,OFF-AR-10002833,Office Supplies,Art,761.38
CA-2014-115812,6/9/2014,907.152,6,90.7152,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,TEC-PH-10002275,Technology,Phones,4397.79
CA-2014-115812,6/9/2014,18.504,3,5.7825,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,OFF-BI-10003910,Office Supplies,Binders,3205.02
CA-2014-115812,6/9/2014,114.9,5,34.47,0.0,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,OFF-AP-10002892,Office Supplies,Appliances,3686.33
CA-2014-115812,6/9/2014,1706.184,9,85.3092,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,FUR-TA-10001539,Furniture,Tables,592.63
CA-2014-115812,6/9/2014,911.424,4,68.3568,0.2,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,TEC-PH-10002033,Technology,Phones,4864.59
CA-2017-114412,4/15/2017,15.552,3,5.4432,0.2,AA-10480,Andrew Allen,Consumer,South,North Carolina,Concord,OFF-PA-10002365,Office Supplies,Paper,4245.99
CA-2016-161389,12/5/2016,407.976,3,132.5922,0.2,IM-15070,Irene Maddox,Consumer,West,Washington,Seattle,OFF-BI-10003656,Office Supplies,Binders,1455.53
US-2015-118983,11/22/2015,68.81,5,-123.858,0.8,HP-14815,Harold Pawlan,Home Office,Central,Texas,Fort Worth,OFF-AP-10002311,Office Supplies,Appliances,1318.21
US-2015-118983,11/22/2015,2.544,3,-3.816,0.8,HP-14815,Harold Pawlan,Home Office,Central,Texas,Fort Worth,OFF-BI-10000756,Office Supplies,Binders,1325.32
CA-2014-105893,11/11/2014,665.88,6,13.3176,0.0,PK-19075,Pete Kriz,Consumer,Central,Wisconsin,Madison,OFF-ST-10004186,Office Supplies,Storage,1869.09
CA-2014-167164,5/13/2014,55.5,2,9.99,0.0,AG-10270,Alejandro Grove,Consumer,West,Utah,West Jordan,OFF-ST-10000107,Office Supplies,Storage,2861.4
CA-2014-143336,8/27/2014,8.56,2,2.4824,0.0,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,OFF-AR-10003056,Office Supplies,Art,2443.75
CA-2014-143336,8/27/2014,213.48,3,16.011,0.2,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,TEC-PH-10001949,Technology,Phones,1810.53
CA-2014-143336,8/27/2014,22.72,4,7.384,0.2,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,OFF-BI-10002215,Office Supplies,Binders,3253.34
CA-2016-137330,12/9/2016,19.46,7,5.0596,0.0,KB-16585,Ken Black,Corporate,Central,Nebraska,Fremont,OFF-AR-10000246,Office Supplies,Art,1127.72
CA-2016-137330,12/9/2016,60.34,7,15.6884,0.0,KB-16585,Ken Black,Corporate,Central,Nebraska,Fremont,OFF-AP-10001492,Office Supplies,Appliances,1814.65
US-2017-156909,7/16/2017,71.372,2,-1.0196,0.3,SF-20065,Sandra Flanagan,Consumer,East,Pennsylvania,Philadelphia,FUR-CH-10002774,Furniture,Chairs,2148.63
CA-2015-106320,9/25/2015,1044.63,3,240.2649,0.0,EB-13870,Emily Burns,Consumer,West,Utah,Orem,FUR-TA-10000577,Furniture,Tables,2552.31
CA-2016-121755,1/16/2016,11.648,2,4.2224,0.2,EH-13945,Eric Hoffmann,Consumer,West,California,Los Angeles,OFF-BI-10001634,Office Supplies,Binders,4033.29
CA-2016-121755,1/16/2016,90.57,3,11.7741,0.0,EH-13945,Eric Hoffmann,Consumer,West,California,Los Angeles,TEC-AC-10003027,Technology,Accessories,1398.53
US-2015-150630,9/17/2015,3083.43,7,-1665.0522,0.5,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,FUR-BO-10004834,Furniture,Bookcases,2814.05
US-2015-150630,9/17/2015,9.618,2,-7.0532,0.7,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-BI-10000474,Office Supplies,Binders,3165.87
US-2015-150630,9/17/2015,124.2,3,15.525,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,FUR-FU-10004848,Furniture,Furnishings,709.03
US-2015-150630,9/17/2015,3.264,2,1.1016,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-EN-10001509,Office Supplies,Envelopes,3233.95
US-2015-150630,9/17/2015,86.304,6,9.7092,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-AR-10004042,Office Supplies,Art,1267.36
US-2015-150630,9/17/2015,6.858,6,-5.715,0.7,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-BI-10001525,Office Supplies,Binders,792.73
US-2015-150630,9/17/2015,15.76,2,3.546,0.2,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,OFF-AR-10001683,Office Supplies,Art,4769.98
CA-2017-107727,10/19/2017,29.472,3,9.9468,0.2,MA-17560,Matt Abelman,Home Office,Central,Texas,Houston,OFF-PA-10000249,Office Supplies,Paper,4845.34
CA-2016-117590,12/8/2016,1097.544,7,123.4737,0.2,GH-14485,Gene Hale,Corporate,Central,Texas,Richardson,TEC-PH-10004977,Technology,Phones,4137.79
CA-2016-117590,12/8/2016,190.92,5,-147.963,0.6,GH-14485,Gene Hale,Corporate,Central,Texas,Richardson,FUR-FU-10003664,Furniture,Furnishings,1870.76
CA-2015-117415,12/27/2015,113.328,9,35.415,0.2,SN-20710,Steve Nguyen,Home Office,Central,Texas,Houston,OFF-EN-10002986,Office Supplies,Envelopes,939.52
CA-2015-117415,12/27/2015,532.3992,3,-46.9764,0.32,SN-20710,Steve Nguyen,Home Office,Central,Texas,Houston,FUR-BO-10002545,Furniture,Bookcases,3579.05
CA-2015-117415,12/27/2015,212.058,3,-15.147,0.3,SN-20710,Steve Nguyen,Home Office,Central,Texas,Houston,FUR-CH-10004218,Furniture,Chairs,2480.69
CA-2015-117415,12/27/2015,371.168,4,41.7564,0.2,SN-20710,Steve Nguyen,Home Office,Central,Texas,Houston,TEC-PH-10000486,Technology,Phones,1049.17
CA-2017-120999,9/10/2017,147.168,4,16.5564,0.2,LC-16930,Linda Cazamias,Corporate,Central,Illinois,Naperville,TEC-PH-10004093,Technology,Phones,2728.3
CA-2016-101343,7/17/2016,77.88,2,3.894,0.0,RA-19885,Ruben Ausman,Corporate,West,California,Los Angeles,OFF-ST-10003479,Office Supplies,Storage,654.75
CA-2017-139619,9/19/2017,95.616,2,9.5616,0.2,ES-14080,Erin Smith,Corporate,South,Florida,Melbourne,OFF-ST-10003282,Office Supplies,Storage,4591.94
CA-2016-118255,3/11/2016,45.98,2,19.7714,0.0,ON-18715,Odella Nelson,Corporate,Central,Minnesota,Eagan,TEC-AC-10000171,Technology,Accessories,1664.51
CA-2016-118255,3/11/2016,17.46,2,8.2062,0.0,ON-18715,Odella Nelson,Corporate,Central,Minnesota,Eagan,OFF-BI-10003291,Office Supplies,Binders,3481.35
CA-2014-146703,10/20/2014,211.96,4,8.4784,0.0,PO-18865,Patrick O'Donnell,Consumer,Central,Michigan,Westland,OFF-ST-10001713,Office Supplies,Storage,1902.7
CA-2016-169194,6/20/2016,45.0,3,4.95,0.0,LH-16900,Lena Hernandez,Consumer,East,Delaware,Dover,TEC-AC-10002167,Technology,Accessories,2840.31
CA-2016-169194,6/20/2016,21.8,2,6.104,0.0,LH-16900,Lena Hernandez,Consumer,East,Delaware,Dover,TEC-PH-10003988,Technology,Phones,2960.2
CA-2015-115742,4/18/2015,38.22,6,17.9634,0.0,DP-13000,Darren Powers,Consumer,Central,Indiana,New Albany,OFF-BI-10004410,Office Supplies,Binders,1331.85
CA-2015-115742,4/18/2015,75.18,6,35.3346,0.0,DP-13000,Darren Powers,Consumer,Central,Indiana,New Albany,OFF-LA-10002762,Office Supplies,Labels,4863.13
CA-2015-115742,4/18/2015,6.16,2,2.9568,0.0,DP-13000,Darren Powers,Consumer,Central,Indiana,New Albany,FUR-FU-10001706,Furniture,Furnishings,3988.1
CA-2015-115742,4/18/2015,89.99,1,17.0981,0.0,DP-13000,Darren Powers,Consumer,Central,Indiana,New Albany,FUR-CH-10003061,Furniture,Chairs,4727.75
CA-2016-105816,12/11/2016,15.26,7,6.2566,0.0,JM-15265,Janet Molinari,Corporate,East,New York,New York City,OFF-FA-10000304,Office Supplies,Fasteners,4526.72
CA-2016-105816,12/11/2016,1029.95,5,298.6855,0.0,JM-15265,Janet Molinari,Corporate,East,New York,New York City,TEC-PH-10002447,Technology,Phones,3190.55
CA-2016-111682,6/17/2016,208.56,6,52.14,0.0,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,OFF-ST-10000604,Office Supplies,Storage,4648.43
CA-2016-111682,6/17/2016,32.4,5,15.552,0.0,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,OFF-PA-10001569,Office Supplies,Paper,898.22
CA-2016-111682,6/17/2016,319.41,5,7.098,0.1,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,FUR-CH-10003968,Furniture,Chairs,1381.92
CA-2016-111682,6/17/2016,14.56,2,6.9888,0.0,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,OFF-PA-10000587,Office Supplies,Paper,703.52
CA-2016-111682,6/17/2016,30.0,2,3.3,0.0,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,TEC-AC-10002167,Technology,Accessories,1963.99
CA-2016-111682,6/17/2016,48.48,4,16.362,0.2,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,OFF-BI-10001460,Office Supplies,Binders,2249.05
CA-2016-111682,6/17/2016,1.68,1,0.84,0.0,TB-21055,Ted Butterfield,Consumer,East,New York,Troy,OFF-AR-10001868,Office Supplies,Art,1721.07
CA-2015-135545,11/24/2015,13.98,2,6.1512,0.0,KM-16720,Kunst Miller,Consumer,West,California,Los Angeles,TEC-AC-10004633,Technology,Accessories,4229.32
CA-2015-135545,11/24/2015,25.824,6,9.3612,0.2,KM-16720,Kunst Miller,Consumer,West,California,Los Angeles,OFF-BI-10001078,Office Supplies,Binders,2105.39
CA-2015-135545,11/24/2015,146.73,3,68.9631,0.0,KM-16720,Kunst Miller,Consumer,West,California,Los Angeles,OFF-PA-10003892,Office Supplies,Paper,1764.21
CA-2015-135545,11/24/2015,79.76,4,22.3328,0.0,KM-16720,Kunst Miller,Consumer,West,California,Los Angeles,FUR-FU-10000397,Furniture,Furnishings,2942.13
US-2015-164175,4/30/2015,213.115,5,-15.2225,0.3,PS-18970,Paul Stevenson,Home Office,Central,Illinois,Chicago,FUR-CH-10001146,Furniture,Chairs,1134.16
CA-2014-106376,12/5/2014,1113.024,8,111.3024,0.2,BS-11590,Brendan Sweed,Corporate,West,Arizona,Gilbert,OFF-AR-10002671,Office Supplies,Art,4109.89
CA-2014-106376,12/5/2014,167.968,4,62.988,0.2,BS-11590,Brendan Sweed,Corporate,West,Arizona,Gilbert,TEC-PH-10002726,Technology,Phones,835.48
CA-2016-119823,6/4/2016,75.88,2,35.6636,0.0,KD-16270,Karen Daniels,Consumer,South,Virginia,Springfield,OFF-PA-10000482,Office Supplies,Paper,4940.99
CA-2016-106075,9/18/2016,4.616,1,1.731,0.2,HM-14980,Henry MacAllister,Consumer,East,New York,New York City,OFF-BI-10004654,Office Supplies,Binders,3975.1
CA-2017-114440,9/14/2017,19.05,3,8.763,0.0,TB-21520,Tracy Blumstein,Consumer,Central,Michigan,Jackson,OFF-PA-10004675,Office Supplies,Paper,1394.22
US-2015-134026,4/26/2015,831.936,8,-114.3912,0.2,JE-15745,Joel Eaton,Consumer,South,Tennessee,Memphis,FUR-CH-10000513,Furniture,Chairs,524.85
US-2015-134026,4/26/2015,97.04,2,1.213,0.2,JE-15745,Joel Eaton,Consumer,South,Tennessee,Memphis,FUR-FU-10003708,Furniture,Furnishings,4169.58
US-2015-134026,4/26/2015,72.784,1,-18.196,0.2,JE-15745,Joel Eaton,Consumer,South,Tennessee,Memphis,OFF-ST-10004123,Office Supplies,Storage,3680.86
US-2017-118038,12/9/2017,1.248,3,-1.9344,0.8,KB-16600,Ken Brennan,Corporate,Central,Texas,Houston,OFF-BI-10004182,Office Supplies,Binders,3780.53
